# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_abandoned_mall_2025_v3
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_weapon	614.415039 1787.553711 1.211413	1.748 4.973 -92.889
ttt_random_weapon	603.269653 1225.174194 1.218801	1.663 4.987 -93.083
ttt_random_weapon	456.749084 544.646362 1.237430	1.452 4.968 -93.565
ttt_random_weapon	447.838287 197.099442 1.226766	1.573 4.985 -93.289
ttt_random_weapon	770.864319 228.733047 1.230028	1.536 4.981 -93.373
ttt_random_weapon	811.249084 392.897644 1.228904	1.549 4.982 -93.344
ttt_random_weapon	1148.624756 298.811279 1.219241	1.658 4.987 -93.094
ttt_random_weapon	638.936829 -246.579163 1.231085	1.524 4.980 -93.401
ttt_random_weapon	596.585083 -861.783691 1.218802	1.663 4.987 -93.083
ttt_random_weapon	278.868561 -1554.292236 1.217903	1.673 4.988 -93.059
ttt_random_weapon	596.563904 -1915.331787 1.229192	1.546 4.982 -93.352
ttt_random_weapon	1796.937744 -1627.085693 1.231837	1.516 4.979 -93.420
ttt_random_weapon	2600.901367 -1606.200073 1.219241	1.658 4.987 -93.094
ttt_random_weapon	2614.273193 -1133.721313 1.216502	1.689 4.985 -93.023
ttt_random_weapon	2595.111572 -611.323242 1.222138	1.625 4.988 -93.169
ttt_random_weapon	2559.616211 -114.831306 1.220933	1.639 4.988 -93.138
ttt_random_weapon	2608.628418 270.406921 1.232081	1.513 4.978 -93.427
item_ammo_smg1_ttt	3069.948242 2970.073486 -2.669920	0.150 -0.014 0.362
item_ammo_smg1_ttt	3085.376465 2955.710938 4.563432	82.822 -133.338 -100.780
item_ammo_smg1_ttt	3075.188965 2940.402344 -1.572231	-12.190 11.550 -0.155
item_ammo_smg1_ttt	3090.709229 2902.428955 -2.924511	0.034 -0.060 0.145
weapon_ttt_m16	2924.975586 2915.411377 -1.860429	2.449 5.226 -83.843
ttt_random_ammo	1622.454712 3284.256592 0.432496	1.420 0.033 1.728
ttt_random_ammo	1624.726440 3344.515381 0.344600	0.049 0.000 -0.019
ttt_random_ammo	1570.883789 3318.517822 0.394305	0.935 0.011 1.084
ttt_random_ammo	1619.660522 2684.669434 0.361551	0.068 0.000 0.012
ttt_random_ammo	1580.823364 2726.345459 0.434916	1.380 0.034 1.681
ttt_random_ammo	1623.151123 2769.725342 0.365433	0.078 0.000 0.027
ttt_random_ammo	2131.292969 3025.944092 0.363507	0.073 0.000 0.020
ttt_random_ammo	1814.488770 3021.323730 0.445876	1.074 0.028 1.302
ttt_random_ammo	1785.522705 2838.850098 0.372759	0.111 0.000 0.071
ttt_random_ammo	2011.571533 2840.627197 0.382471	0.222 0.001 0.211
ttt_random_ammo	1830.548096 3230.956543 0.370983	0.101 0.000 0.058
ttt_random_ammo	2050.535156 3230.462646 0.342323	0.048 0.000 -0.022
ttt_random_ammo	1782.886230 3471.270020 0.337655	0.047 0.000 -0.025
ttt_random_ammo	2190.436279 3464.783203 0.372750	0.112 0.000 0.072
ttt_random_ammo	2390.631348 3001.669678 0.359553	0.064 0.000 0.007
ttt_random_ammo	2390.224854 3157.081055 0.382500	0.218 0.001 0.206
ttt_random_ammo	2384.046143 3327.800049 0.466317	-1.001 -0.026 1.217
ttt_random_ammo	1163.102905 3550.857666 0.387647	0.361 -0.002 -0.383
ttt_random_ammo	1136.395264 3359.840088 0.385075	0.285 -0.001 -0.289
ttt_random_ammo	835.063049 3283.574463 0.340006	0.048 0.000 -0.023
ttt_random_ammo	882.547668 3297.270996 0.420411	1.642 0.037 1.992
ttt_random_ammo	871.297485 3271.772949 0.443342	1.101 0.028 1.332
ttt_random_ammo	816.312500 3253.658203 0.314773	0.048 0.000 -0.036
ttt_random_ammo	2376.381592 2354.440430 0.399839	-0.159 -0.057 -0.138
ttt_random_ammo	2310.089844 2363.044434 0.385094	0.283 -0.001 -0.286
ttt_random_ammo	2222.177002 2406.922607 0.359555	0.064 0.000 0.006
ttt_random_ammo	2221.189697 2438.683105 0.372694	0.112 -0.000 -0.072
ttt_random_ammo	2228.251953 2537.615723 0.361548	0.068 0.000 0.013
ttt_random_ammo	2234.173828 2592.559814 0.369130	0.092 -0.000 -0.046
ttt_random_ammo	2244.945801 2665.762695 0.390151	0.487 0.003 0.537
ttt_random_ammo	2259.354004 2707.226074 0.322753	0.047 0.000 -0.033
ttt_random_ammo	2723.895264 1928.248779 0.441816	1.224 0.030 1.490
ttt_random_ammo	2661.367676 2075.551758 0.357525	0.060 0.000 0.001
ttt_random_ammo	2619.813965 1940.550293 0.340007	0.048 0.000 -0.023
ttt_random_ammo	2706.538086 1264.276733 0.389780	-0.283 -0.001 0.287
ttt_random_ammo	2616.899902 1282.928223 0.449297	-1.601 -0.043 1.947
ttt_random_ammo	2657.671631 1397.989624 0.420960	-0.173 0.091 0.204
ttt_random_ammo	3075.955811 1686.211914 0.355429	0.056 0.000 -0.004
ttt_random_ammo	3150.970947 1688.129395 0.382523	0.210 0.001 0.198
ttt_random_ammo	3076.120361 1761.532349 0.346806	0.049 0.000 -0.017
ttt_random_ammo	3145.871582 1761.833374 0.463271	-0.749 4.747 -0.115
ttt_random_ammo	1507.656128 1926.613037 21.599134	-0.043 0.000 0.028
ttt_random_ammo	1502.543091 1971.075684 21.572727	-0.047 0.000 0.037
ttt_random_ammo	1670.054321 2134.858643 0.331054	-0.046 -0.000 -0.029
ttt_random_ammo	1665.157349 2088.922852 0.370974	0.097 0.000 0.054
ttt_random_ammo	1704.377808 2089.570068 0.443664	1.048 -0.027 -1.265
ttt_random_ammo	1712.475098 2132.318848 0.383972	0.239 0.001 0.234
ttt_random_ammo	2133.231934 1574.313477 0.357495	0.059 0.000 0.000
ttt_random_ammo	2220.309570 1565.288452 0.367299	0.082 0.000 0.034
ttt_random_ammo	2142.826416 1687.409546 0.349027	0.050 -0.000 0.014
ttt_random_ammo	2221.791504 1683.042480 0.363470	0.070 -0.000 -0.018
ttt_random_ammo	2249.958252 1705.802979 0.423402	1.461 -0.034 -1.765
ttt_random_ammo	2123.269531 1711.926758 0.460069	0.729 0.022 0.881
ttt_random_ammo	2111.905029 1549.174805 0.342301	0.047 -0.000 0.021
ttt_random_ammo	2253.529053 1540.703491 0.416600	1.600 -0.036 -1.932
ttt_random_ammo	2616.586182 881.173584 0.386626	0.326 0.002 0.339
ttt_random_ammo	2667.427490 762.403198 0.374481	0.124 0.000 0.088
ttt_random_ammo	2731.979248 880.772888 0.421225	1.594 -0.042 -1.935
ttt_random_ammo	1920.600220 359.554993 0.342321	0.048 0.000 -0.021
ttt_random_ammo	1998.099976 395.333557 0.385320	0.284 0.001 0.287
ttt_random_ammo	2004.898315 308.516998 0.437620	1.319 0.032 1.606
ttt_random_ammo	2478.564453 -67.107231 0.376172	0.138 0.000 0.106
ttt_random_ammo	2556.368408 -184.458588 0.363499	0.072 -0.000 -0.018
ttt_random_ammo	2628.243896 -92.264511 0.342321	0.048 0.000 -0.021
ttt_random_ammo	2503.598389 -491.336670 0.376185	0.137 0.000 0.104
ttt_random_ammo	2490.679443 -698.040527 0.374493	0.123 0.000 0.086
ttt_random_ammo	2645.227783 -727.824097 0.390211	0.479 0.003 0.527
ttt_random_ammo	2653.053467 -488.481689 0.359553	0.064 0.000 0.007
ttt_random_ammo	2498.522949 -1077.999023 0.355458	0.058 0.000 -0.003
ttt_random_ammo	2471.344971 -1191.775146 0.447159	1.100 0.028 1.340
ttt_random_ammo	2686.128906 -1190.236450 0.342322	0.048 0.000 -0.021
ttt_random_ammo	2657.142334 -1030.502441 0.434092	1.326 0.033 1.607
ttt_random_ammo	2517.238281 -1680.849243 0.389097	0.420 0.003 0.455
ttt_random_ammo	2532.371338 -1534.325073 0.353358	0.055 0.000 -0.007
ttt_random_ammo	2713.877686 -1522.803223 0.435160	1.258 0.031 1.521
ttt_random_ammo	2669.629395 -1701.303223 0.449281	1.052 0.027 1.280
ttt_random_ammo	1923.172974 -1555.926636 0.363512	0.072 0.000 0.019
ttt_random_ammo	1702.563110 -1540.894531 0.317475	0.048 0.000 -0.035
ttt_random_ammo	1674.615723 -1690.828369 0.346844	0.050 0.000 -0.017
ttt_random_ammo	1915.493652 -1669.605835 0.394125	0.960 0.011 1.114
ttt_random_ammo	1415.956543 -1571.965454 0.376185	0.137 0.000 0.104
ttt_random_ammo	1101.975098 -1580.430420 0.357523	0.060 0.000 0.001
ttt_random_ammo	1073.275513 -1709.953247 0.387879	0.372 0.002 0.396
ttt_random_ammo	1405.866089 -1647.385986 0.332839	0.047 0.000 -0.028
ttt_random_ammo	1223.128540 -1621.218384 0.337654	0.047 0.000 -0.025
ttt_random_ammo	692.952698 -1065.121338 0.387983	0.358 0.002 0.379
ttt_random_ammo	701.997559 -769.336182 0.355460	0.057 0.000 -0.003
ttt_random_ammo	568.894043 -718.639038 0.327873	0.047 0.000 -0.031
ttt_random_ammo	594.794922 -1053.891113 0.330375	0.047 0.000 -0.029
ttt_random_ammo	701.349182 -376.252686 0.346843	0.050 0.000 -0.017
ttt_random_ammo	692.275513 -189.143265 0.415096	-1.314 -0.021 1.545
ttt_random_ammo	566.780823 -166.860779 0.347271	0.139 0.069 0.056
ttt_random_ammo	599.284729 -390.050415 0.474798	0.465 0.019 0.566
ttt_random_ammo	853.361206 317.369202 0.385304	0.286 0.001 0.290
ttt_random_ammo	636.728516 144.521820 0.330376	0.047 0.000 -0.029
ttt_random_ammo	346.281189 355.421997 0.332840	0.047 0.000 -0.028
ttt_random_ammo	620.789307 589.306152 0.390186	0.483 0.003 0.532
ttt_random_ammo	571.804016 1091.858032 0.337655	0.047 0.000 -0.025
ttt_random_ammo	660.892395 1107.145386 0.420008	1.702 0.036 2.071
ttt_random_ammo	676.277039 1379.191040 0.340006	0.048 0.000 -0.023
ttt_random_ammo	550.588867 1369.892456 0.349050	0.051 0.000 -0.014
ttt_random_ammo	574.905029 1673.833862 0.351234	0.053 -0.000 0.011
ttt_random_ammo	720.472107 1685.286865 0.379309	0.172 -0.001 -0.149
ttt_random_ammo	740.659912 1878.260010 0.419724	1.638 0.036 1.986
ttt_random_ammo	561.774658 1847.228516 0.344600	0.049 0.000 -0.019
ttt_random_ammo	563.763367 2015.956543 0.346843	0.050 0.000 -0.017
ttt_random_ammo	702.298828 2050.471924 0.370983	0.101 0.000 0.058
ttt_random_ammo	708.631042 2196.900879 0.346842	0.050 0.000 -0.017
ttt_random_ammo	517.494995 2203.480957 0.383952	0.247 0.001 0.242
weapon_zm_mac10	3080.096680 2966.072754 -1.935373	-0.001 -47.501 -88.493
weapon_zm_mac10	3078.806152 2944.938721 -1.989978	0.169 -47.716 -88.572
ttt_playerspawn	3071.236572 3038.797607 -1.866236	-0.045 0.070 0.893
ttt_playerspawn	2828.248047 3100.994873 -2.123571	-2.223 0.073 -0.365
ttt_playerspawn	2957.024414 2992.650391 -2.522746	0.233 0.005 0.239
ttt_playerspawn	3045.670166 3141.946533 -1.618311	-0.806 0.065 0.178
ttt_playerspawn	2800.931641 2985.202881 -0.114528	2.039 -0.210 -1.137
ttt_playerspawn	2384.449707 3507.311279 0.531891	-0.292 -0.025 -0.091
ttt_playerspawn	2646.021240 3411.393555 0.545260	-0.052 -0.000 0.052
ttt_playerspawn	2643.383545 3543.466064 0.529282	-0.068 -0.000 0.068
ttt_playerspawn	2625.078369 2874.177246 0.527118	-0.070 -0.000 0.070
ttt_playerspawn	2462.376709 2535.464844 0.526011	-0.071 -0.000 0.071
ttt_playerspawn	2610.905029 2541.673340 0.536362	-0.061 -0.000 0.061
ttt_playerspawn	3636.786377 1707.950806 8.508949	0.009 0.000 0.009
ttt_playerspawn	3284.446045 1581.916626 0.496006	-0.042 -0.000 0.042
ttt_playerspawn	3383.993896 1891.528687 0.513222	-0.035 -0.000 0.035
ttt_playerspawn	2064.721191 2142.913574 0.486153	-0.046 -0.000 0.046
ttt_playerspawn	1662.052368 1746.708496 0.519296	0.008 0.000 0.008
ttt_playerspawn	1557.661987 1952.325317 0.508948	-0.009 -0.000 0.009
ttt_playerspawn	2466.626465 1988.985107 0.534415	-0.063 -0.000 0.063
item_ammo_pistol_ttt	2912.575439 2942.252197 -2.436393	-0.253 -0.011 -0.363
item_ammo_pistol_ttt	2904.830566 2890.112061 -2.152849	-0.248 -0.014 -0.364
weapon_ttt_confgrenade	2930.681396 3200.969727 -2.430929	-4.478 -2.703 2.129
weapon_ttt_confgrenade	2961.050049 3199.740234 0.248963	19.532 27.999 105.131
weapon_ttt_confgrenade	3026.452393 3199.886475 -1.880281	-3.344 -2.926 5.638
weapon_ttt_confgrenade	3039.841553 2933.791504 -1.039996	-37.458 43.394 92.683
weapon_ttt_confgrenade	2990.853271 2931.209229 -0.880086	-35.678 -50.861 -90.646
weapon_ttt_confgrenade	2931.378662 2944.548096 -0.738368	-37.512 -54.851 -91.747
weapon_ttt_confgrenade	2992.825928 3255.044678 0.292478	-38.972 57.229 89.254
weapon_ttt_confgrenade	2941.718018 3251.565674 -0.208554	-35.498 66.737 88.090
weapon_ttt_confgrenade	3016.515137 2917.065430 -1.100181	-34.298 -51.971 -88.593
weapon_ttt_confgrenade	2968.858154 2912.929932 -0.761997	-36.529 -56.354 -89.297
item_ammo_revolver_ttt	2886.674805 3157.031250 -2.153073	0.385 0.120 -0.242
item_ammo_revolver_ttt	2889.490479 3228.296875 -2.498206	0.663 -0.017 -0.138
item_ammo_revolver_ttt	2929.269775 3187.836670 -2.197251	0.549 0.117 -0.247
item_ammo_revolver_ttt	2928.946045 3158.893555 -2.204433	1.005 0.074 0.138
item_ammo_revolver_ttt	2924.909912 3222.440186 -2.374623	0.597 0.115 -0.249
weapon_zm_revolver	2872.018555 3207.044434 -1.993270	2.841 -17.446 -83.868
weapon_zm_revolver	2871.738281 3191.765381 -1.913560	2.724 -17.464 -84.097
weapon_zm_revolver	2870.638428 3176.613525 -1.864138	2.792 -17.454 -83.964
weapon_zm_revolver	2895.639404 3182.703125 -1.839455	3.037 -17.416 -83.484
weapon_zm_revolver	2896.858154 3198.271484 -1.919432	3.169 -17.390 -83.225
