# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_csgoagency
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_weapon	633.540527 -1531.574951 411.224426	1.599 4.689 -93.229
ttt_random_weapon	699.375122 -1533.188965 411.202759	1.844 4.714 -92.668
ttt_random_weapon	777.406128 -1572.278687 411.202057	1.852 4.715 -92.650
ttt_random_weapon	801.508179 -1521.541504 411.225464	1.588 4.689 -93.256
ttt_random_weapon	762.488098 -1462.046875 411.208527	1.779 4.709 -92.817
ttt_random_weapon	702.958130 -1439.123047 411.222534	1.591 5.015 -93.213
ttt_random_weapon	619.880676 -1444.896606 411.216980	1.684 4.808 -93.036
ttt_random_weapon	544.561157 -1469.854980 411.196899	1.910 4.719 -92.517
ttt_random_weapon	497.122314 -1486.511108 411.210846	1.753 4.707 -92.877
ttt_random_weapon	452.576477 -1522.714966 411.193695	1.946 4.720 -92.435
ttt_random_weapon	410.294769 -1576.503296 411.222565	1.620 4.692 -93.181
ttt_random_weapon	365.100281 -1648.363037 411.235687	1.270 4.583 -93.754
ttt_random_weapon	327.238342 -1758.188599 411.197662	1.901 4.718 -92.537
ttt_random_weapon	351.407013 -1879.131836 411.225464	1.588 4.689 -93.256
ttt_random_weapon	-44.802860 22.395927 321.218872	1.663 4.765 -93.084
ttt_random_weapon	-32.254322 42.514996 321.210266	1.759 4.772 -92.862
ttt_random_weapon	41.152912 33.556789 321.192902	1.955 4.720 -92.413
ttt_random_weapon	-28.834717 -205.725586 321.199188	1.884 4.716 -92.576
ttt_random_weapon	68.113342 -135.721329 321.206085	1.807 4.711 -92.753
ttt_random_weapon	238.937759 439.797089 321.196106	1.919 4.783 -92.496
ttt_random_weapon	-39.208294 901.754578 321.215607	1.700 4.768 -92.999
ttt_random_weapon	-222.729721 948.196289 513.211426	1.747 4.706 -92.892
ttt_random_weapon	-219.780807 789.539551 513.214600	1.711 4.703 -92.974
ttt_random_weapon	-17.873474 1060.195923 513.214600	1.711 4.769 -92.974
ttt_random_ammo	-505.865295 593.156189 512.348999	0.050 0.000 -0.014
ttt_random_ammo	-460.905670 571.112610 512.357483	0.059 0.000 0.001
ttt_random_ammo	-216.742538 822.867981 512.365417	0.078 0.000 0.027
ttt_random_ammo	-214.072968 909.981018 512.391235	0.545 0.004 0.608
ttt_random_ammo	21.359316 1032.717285 512.441772	1.114 0.028 1.346
ttt_random_ammo	-497.838562 1898.106201 512.361511	0.066 0.000 0.011
ttt_random_ammo	-564.384583 1904.430298 512.369141	0.090 0.000 0.044
ttt_random_ammo	-625.789062 1903.045654 512.367310	0.082 0.000 0.034
ttt_random_ammo	-690.956604 1904.977783 512.342285	0.047 0.000 -0.021
ttt_random_ammo	-766.073364 1906.375244 512.376221	0.131 0.000 0.098
ttt_random_ammo	-821.296021 1904.764771 512.415649	1.557 0.041 1.870
ttt_random_ammo	-890.464355 1899.650391 512.388000	0.351 0.002 0.372
ttt_random_ammo	-955.655029 1895.161499 512.386719	0.309 0.002 0.320
ttt_random_ammo	-1020.645508 1890.902832 512.325317	0.046 0.000 -0.031
ttt_random_ammo	-1425.302490 1263.598389 552.594421	0.047 0.000 -0.022
ttt_random_ammo	-1424.526978 1362.519043 552.587463	0.046 0.000 -0.027
ttt_random_ammo	-1533.983154 926.149048 512.367676	-0.300 0.003 -0.237
ttt_random_ammo	-1257.077271 -281.814240 320.390350	0.459 0.003 0.504
ttt_random_ammo	-1250.893311 -324.295380 320.349030	0.050 0.000 -0.014
ttt_random_ammo	-473.083588 -1150.351074 320.349060	0.051 0.000 -0.014
ttt_random_ammo	-440.977051 -1116.187744 320.337646	0.047 0.000 -0.025
ttt_random_ammo	-385.405334 -1074.058105 320.369171	0.092 0.000 0.046
ttt_random_ammo	-245.828674 -922.528931 320.436920	1.244 0.031 1.506
ttt_random_ammo	-165.688477 -881.842346 320.357544	0.060 0.000 0.001
ttt_random_ammo	417.630402 -1875.058960 410.476105	0.204 6.603 0.259
ttt_random_ammo	610.054749 -1692.588867 410.377838	0.150 0.001 0.121
ttt_random_ammo	655.730896 -1614.924072 410.474823	-1.261 -0.024 1.372
ttt_random_ammo	776.402649 -1531.841675 410.357513	0.060 0.000 0.001
ttt_random_ammo	713.137146 -1445.061646 412.725372	0.596 -8.898 89.802
ttt_random_ammo	477.172089 -1552.902832 410.361847	-0.305 0.003 -0.246
ttt_random_ammo	398.372192 -1652.729736 410.365417	0.078 0.000 0.027
ttt_random_ammo	307.571320 -1758.865479 410.438324	1.275 0.032 1.550
ttt_random_ammo	422.218597 -1869.939331 410.499817	-0.774 0.106 -0.915
ttt_random_ammo	597.910339 -1729.587280 410.379395	0.172 0.001 0.149
ttt_random_ammo	704.136536 -1594.825073 410.396912	-0.266 0.003 -0.133
ttt_random_ammo	753.256897 -1499.686279 410.385345	0.278 0.001 0.280
ttt_random_ammo	600.977356 -1470.667725 410.371552	-0.285 0.003 -0.225
ttt_random_ammo	465.453796 -1541.184204 410.438446	-1.552 -0.013 1.564
ttt_random_ammo	354.122742 -1645.496948 412.656555	0.944 9.170 -90.002
ttt_random_ammo	344.258728 -1778.971802 410.380981	0.193 0.001 0.175
ttt_random_ammo	499.783600 -1817.054688 410.346832	0.050 0.000 -0.017
ttt_random_ammo	579.299622 -1661.409058 410.386658	0.320 0.002 0.332
ttt_random_ammo	592.358521 -1603.945679 410.476318	-1.169 -0.022 1.272
ttt_random_ammo	541.779602 -1658.095459 410.365417	0.078 0.000 0.027
ttt_random_ammo	476.761292 -1717.077026 410.418030	1.692 0.036 2.053
ttt_random_ammo	430.548615 -1697.107788 410.351196	0.053 0.000 -0.011
ttt_random_ammo	447.199921 -1634.800415 410.361847	-0.305 0.003 -0.246
ttt_random_ammo	504.727234 -1602.448364 410.357758	-0.313 0.003 -0.255
ttt_playerspawn	798.799255 -1678.487061 410.543060	-0.069 -0.000 0.069
ttt_playerspawn	684.248962 -1821.384399 410.557861	-0.050 -0.000 0.051
ttt_playerspawn	530.583252 -1960.782837 410.536713	-0.076 0.000 -0.077
ttt_playerspawn	310.003876 -1982.007080 410.548737	-0.062 -0.000 0.062
ttt_playerspawn	867.265015 -1442.382935 410.547180	0.064 0.000 0.064
ttt_playerspawn	251.671570 -1677.605225 410.547180	-0.064 -0.000 0.064
ttt_playerspawn	521.226318 -1409.021729 410.543884	0.068 0.000 0.068
ttt_playerspawn	644.964600 -1576.519653 410.547180	-0.064 -0.000 0.064
ttt_playerspawn	421.583557 -1801.677856 410.547180	-0.064 0.000 -0.064
ttt_playerspawn	-431.665924 1839.436646 512.507812	-0.037 -0.000 0.037
ttt_playerspawn	-585.786255 1824.300903 512.514526	-0.034 -0.000 0.034
ttt_playerspawn	-697.664917 1811.749390 512.507812	-0.037 -0.000 0.037
ttt_playerspawn	-787.560120 1801.685913 512.487854	-0.045 -0.000 0.045
ttt_playerspawn	-964.711487 1801.641357 512.525391	-0.030 -0.000 0.030
ttt_playerspawn	-1129.137329 1797.376099 512.492798	-0.043 -0.000 0.043
ttt_playerspawn	-1297.393066 1769.297241 512.518311	-0.033 -0.000 0.033
ttt_playerspawn	-1244.003418 1877.307373 512.544800	0.034 -0.016 -0.133
