# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_squidgame_facility
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_weapon	7960.659668 4532.600586 7169.212891	1.726 4.928 -92.939
ttt_random_weapon	7919.069336 4530.812988 7169.234375	1.479 4.911 -93.503
ttt_random_weapon	7871.942383 4528.768066 7169.203613	1.826 4.930 -92.710
ttt_random_weapon	7827.580078 4526.861328 7169.221191	1.632 4.923 -93.154
ttt_random_weapon	7785.994629 4525.063477 7169.212891	1.726 4.928 -92.939
ttt_random_weapon	7766.955566 4474.397461 7169.213867	1.714 4.927 -92.966
ttt_random_weapon	7815.138672 4476.467285 7169.196777	1.907 4.929 -92.525
ttt_random_weapon	7865.038574 4478.633789 7169.226562	1.568 4.918 -93.301
ttt_random_weapon	7909.400391 4480.541504 7169.209473	1.763 4.930 -92.853
ttt_random_weapon	7959.304688 4482.694336 7169.209961	1.757 4.929 -92.868
ttt_random_weapon	8000.889160 4484.495117 7169.226562	1.571 4.919 -93.293
ttt_random_weapon	8036.931641 4486.049316 7169.223145	1.610 4.921 -93.204
ttt_random_ammo	7796.435059 4520.775879 7168.366699	0.083 0.000 0.034
ttt_random_ammo	7852.661133 4522.856934 7168.439453	1.168 0.029 1.413
ttt_random_ammo	7899.161621 4521.335449 7168.377441	0.150 0.001 0.121
ttt_random_ammo	7948.337891 4520.270996 7168.429199	1.329 0.032 1.602
ttt_random_ammo	7995.469238 4522.501465 7168.356934	0.059 0.000 0.000
ttt_random_ammo	8039.819824 4524.645508 7168.343750	0.049 0.000 -0.020
ttt_random_ammo	8033.177246 4588.183594 7168.375488	0.134 0.000 0.101
ttt_random_ammo	7986.550293 4586.315918 7168.458984	0.537 -1.202 0.772
ttt_random_ammo	7930.296387 4584.117676 7168.336914	0.047 0.000 -0.025
ttt_random_ammo	7882.971680 4581.567871 7168.336914	0.047 0.000 -0.025
ttt_random_ammo	7841.388672 4579.513184 7168.415527	1.619 0.036 1.952
ttt_random_ammo	7801.057129 4565.172852 7168.374023	0.119 0.000 0.082
ttt_random_ammo	7781.385254 4640.183594 7168.366699	0.082 0.000 0.033
ttt_random_ammo	7829.757812 4645.518555 7168.332031	0.046 0.000 -0.028
ttt_random_ammo	7871.326172 4647.691895 7168.348633	0.051 0.000 -0.014
ttt_random_ammo	7912.904785 4649.649414 7168.381836	0.210 0.001 0.196
ttt_random_ammo	7954.485352 4651.571289 7168.322266	0.047 0.000 -0.033
ttt_random_ammo	8004.380859 4653.875000 7168.372070	0.108 0.000 0.067
ttt_random_ammo	8024.937500 4705.766113 7168.329590	0.046 0.000 -0.030
ttt_random_ammo	7966.393066 4691.706055 7168.438477	1.121 0.028 1.348
ttt_random_ammo	7919.307617 4704.530273 7168.374023	0.121 0.000 0.084
ttt_random_ammo	7884.806152 4688.008301 7168.384766	0.270 0.001 0.270
ttt_random_ammo	7866.871094 4683.489258 7168.368652	0.089 0.000 0.042
ttt_random_ammo	7829.530273 4698.248535 7168.327148	0.047 0.000 -0.031
ttt_random_ammo	7782.564453 4750.971680 7168.424805	1.383 0.032 1.662
ttt_random_ammo	7835.478516 4754.132324 7168.324707	0.047 0.000 -0.032
ttt_random_ammo	7888.130371 4756.559570 7168.415527	1.588 0.036 1.912
ttt_random_ammo	7938.041016 4758.784180 7168.394531	1.241 0.019 1.457
ttt_random_ammo	7987.951660 4761.000000 7168.381836	0.212 0.001 0.199
ttt_random_ammo	8026.761719 4762.731934 7168.435059	1.260 0.031 1.524
ttt_random_ammo	8065.248047 4764.443848 7168.378906	0.166 0.001 0.141
ttt_playerspawn	7442.065918 4798.563477 7238.828613	-0.060 0.000 -0.060
ttt_playerspawn	7450.239746 4672.533691 7286.806152	-0.087 0.000 -0.087
ttt_playerspawn	7158.708984 4544.720215 7430.863281	-0.093 0.000 -0.093
ttt_playerspawn	7166.648926 4287.541992 7430.867676	-0.088 0.000 -0.088
ttt_playerspawn	7235.572754 3934.366455 7382.823242	-0.066 -0.000 0.066
ttt_playerspawn	7551.358887 3786.970459 7382.824707	-0.064 -0.000 0.064
ttt_playerspawn	7675.450195 3782.077637 7382.795898	-0.100 -0.000 0.100
ttt_playerspawn	7807.456543 3781.014893 7382.806152	-0.087 -0.000 0.087
ttt_playerspawn	7935.329590 3779.890381 7382.812500	-0.079 -0.000 0.079
ttt_playerspawn	8063.583984 3778.411865 7382.852051	-0.031 -0.000 0.031
ttt_playerspawn	8192.082031 3776.697266 7382.833008	-0.054 -0.000 0.054
ttt_playerspawn	8421.598633 3842.431885 7382.833008	0.020 0.090 0.144
ttt_playerspawn	8514.403320 3927.927490 7382.827148	-0.024 -0.091 0.161
ttt_playerspawn	8579.668945 4221.340820 7382.795898	0.100 0.000 0.100
ttt_playerspawn	8571.107422 4351.444824 7430.869629	0.085 0.000 0.085
ttt_playerspawn	8570.299805 4547.819336 7430.883301	0.069 0.000 0.069
ttt_playerspawn	8577.505859 4796.484863 7334.863281	0.093 0.000 0.093
ttt_playerspawn	7448.117676 4542.231445 7286.810547	-0.082 0.000 -0.082
ttt_playerspawn	7442.755859 4416.423340 7286.823242	-0.066 0.000 -0.066
ttt_playerspawn	7445.133789 4288.694824 7286.815430	-0.076 0.000 -0.076
ttt_playerspawn	7677.502441 4057.138916 7286.803711	-0.090 -0.000 0.090
ttt_playerspawn	7805.059082 4054.060791 7286.798340	-0.097 -0.000 0.097
ttt_playerspawn	7942.018555 4052.585205 7286.808105	-0.084 -0.000 0.084
ttt_playerspawn	8062.189941 4054.081055 7286.820801	-0.069 -0.000 0.069
ttt_playerspawn	8296.595703 4225.192871 7334.920898	0.018 0.000 0.028
ttt_playerspawn	8294.492188 4544.456543 7334.873047	0.081 0.000 0.081
weapon_zm_molotov	7837.723145 4370.241211 7168.170410	-1.254 -1.506 -1.274
weapon_zm_molotov	7932.467773 4363.752441 7168.135742	-1.997 -1.233 -2.033
weapon_ttt_confgrenade	7683.730957 4368.884766 7170.092773	-35.713 -50.032 -89.957
weapon_ttt_confgrenade	7691.614746 4544.861328 7170.181152	-37.062 -48.720 -92.060
weapon_ttt_confgrenade	7694.664062 4658.593262 7170.095703	-35.756 -49.997 -90.022
weapon_ttt_confgrenade	7697.190918 4747.612793 7170.249023	-38.098 -47.571 -93.770
weapon_ttt_confgrenade	7696.241699 4815.540527 7170.158691	-36.719 -49.076 -91.512
