# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ttt_home_alone_1990
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_ammo	-558.092773 -326.690887 48.389683	-0.275 -0.001 0.278
ttt_random_ammo	-551.533325 -341.306305 48.352005	-0.052 -0.000 -0.011
ttt_random_ammo	-297.391541 241.865082 81.385674	0.179 -0.001 -0.160
ttt_random_ammo	-315.971008 224.242737 81.322342	0.047 -0.000 0.035
ttt_random_ammo	-346.531281 223.222733 81.397293	0.477 0.003 0.527
ttt_random_ammo	-382.634766 222.004379 81.359215	0.050 0.000 -0.013
ttt_random_ammo	-405.459290 240.736771 81.376190	0.083 0.000 0.037
ttt_random_ammo	-392.480896 262.454773 81.376190	0.083 0.000 0.037
ttt_random_ammo	-352.647156 262.854767 81.396294	0.416 0.003 0.453
ttt_random_ammo	-316.556885 265.433899 81.341850	0.045 0.000 -0.028
ttt_random_ammo	-209.751938 227.627182 80.122757	-0.011 0.187 -0.123
ttt_random_ammo	-218.370972 129.513397 82.084763	0.040 0.000 -0.024
ttt_random_ammo	-241.631180 125.465866 82.097954	0.045 0.000 -0.012
ttt_random_ammo	-262.309509 124.169716 82.101456	0.048 0.000 -0.006
ttt_random_ammo	18.824554 94.809662 1.960152	1.890 -0.364 0.101
ttt_random_ammo	35.907852 94.454514 1.494417	2.041 0.051 0.009
ttt_random_ammo	61.518940 97.977600 0.885897	1.757 -0.647 0.571
ttt_random_ammo	77.974251 98.561996 0.390669	0.623 -0.052 0.155
ttt_random_ammo	14.460713 120.180244 2.370672	1.579 -0.562 0.501
ttt_random_ammo	38.279064 122.647049 1.782909	1.577 0.151 0.836
ttt_random_ammo	63.262474 122.678658 0.957453	2.301 0.481 0.189
ttt_random_ammo	79.768677 121.025604 0.406383	1.510 -0.429 -0.175
ttt_random_ammo	18.991163 148.680847 2.516322	0.895 0.194 0.985
ttt_random_ammo	34.294739 149.951889 2.291138	0.837 0.524 1.143
ttt_random_ammo	65.545441 149.783478 0.983925	2.330 0.593 0.053
ttt_random_ammo	79.587196 148.980591 0.503130	2.886 0.256 -0.051
ttt_random_ammo	12.307615 177.483810 2.709152	1.052 0.257 -0.031
ttt_random_ammo	34.393135 180.517197 2.269568	1.315 -0.084 -0.212
ttt_random_ammo	67.608093 177.671371 1.004150	2.371 0.036 -0.205
ttt_random_ammo	82.186745 175.214081 0.445565	2.153 -0.830 -0.082
ttt_random_ammo	21.120867 204.638962 2.473270	1.240 -0.152 -0.242
ttt_random_ammo	36.202705 206.309708 2.241234	2.071 -0.475 0.026
ttt_random_ammo	64.250381 208.381012 1.199300	2.480 0.523 0.049
ttt_random_ammo	77.871696 208.445023 0.628584	2.556 0.583 -0.006
ttt_random_ammo	16.881882 -91.435837 1.907897	2.047 -0.145 -0.049
ttt_random_ammo	33.715599 -93.684700 1.465819	1.972 0.166 -0.105
ttt_random_ammo	73.230995 -91.116402 0.434001	0.835 -0.214 -0.092
ttt_random_ammo	87.645103 -87.440002 0.330358	0.046 0.000 -0.029
ttt_random_ammo	15.965443 -125.681824 1.952430	1.645 -0.413 0.037
ttt_random_ammo	35.349453 -124.129433 1.370504	1.864 -0.363 -0.096
ttt_random_ammo	70.131958 -120.703560 0.491315	1.542 -0.130 -0.109
ttt_random_ammo	82.973137 -120.395103 0.355450	0.057 -0.000 0.004
ttt_random_ammo	10.058271 -158.613922 2.171330	2.137 0.243 -0.235
ttt_random_ammo	28.664839 -155.831238 1.633476	1.789 0.506 -0.073
ttt_random_ammo	66.040527 -152.317307 0.559868	2.046 0.261 -0.069
ttt_random_ammo	77.599442 -156.412460 0.358916	0.060 -0.000 0.001
ttt_random_ammo	10.897651 -190.695374 2.133332	1.939 -0.176 0.020
ttt_random_ammo	32.692417 -186.525253 1.543299	1.963 -0.344 -0.149
ttt_random_ammo	66.151077 -183.474731 0.565799	1.616 0.401 0.014
ttt_random_ammo	79.802689 -185.766357 0.335271	0.046 -0.000 0.027
ttt_random_ammo	5.429702 -218.575180 2.144771	1.865 -0.361 0.044
ttt_random_ammo	18.466061 -217.944855 1.846445	1.372 -0.270 -0.033
ttt_random_ammo	48.478546 -213.775650 1.107608	1.484 -0.312 -0.037
ttt_random_ammo	66.938232 -213.077805 0.625875	1.593 0.409 -0.031
ttt_random_ammo	-320.200836 -460.959625 78.549210	0.061 0.000 0.010
ttt_random_ammo	-319.955963 -482.147156 78.576759	0.631 0.005 0.718
ttt_random_ammo	-277.058167 -459.315918 78.550926	0.065 0.000 0.016
ttt_random_ammo	-279.613434 -483.500977 78.563492	0.135 0.001 0.107
ttt_playerspawn	894.638428 37.795940 -7.485159	-0.083 -0.000 0.083
ttt_playerspawn	877.920105 -80.262741 -7.478975	-0.077 -0.000 0.077
ttt_playerspawn	853.688721 -238.593475 -7.446615	-0.045 -0.000 0.045
ttt_playerspawn	738.370911 -324.001495 -7.451022	-0.050 -0.000 0.050
ttt_playerspawn	882.978943 146.807953 -7.475483	-0.074 -0.000 0.074
ttt_playerspawn	825.463501 269.486877 -7.444557	-0.043 -0.000 0.043
ttt_playerspawn	730.434998 360.433228 -7.455009	-0.054 -0.000 0.054
ttt_playerspawn	724.911255 246.960464 -7.475483	-0.074 -0.000 0.074
ttt_playerspawn	776.321655 148.444839 -7.461126	-0.060 -0.000 0.060
ttt_playerspawn	796.566528 57.072044 -7.461126	-0.060 -0.000 0.060
ttt_playerspawn	793.766357 -55.291054 -7.465909	-0.064 -0.000 0.064
ttt_playerspawn	766.135437 -182.249680 -7.463952	-0.062 -0.000 0.062
ttt_playerspawn	674.863647 -258.840820 -7.455009	-0.054 -0.000 0.054
ttt_playerspawn	685.942627 118.450890 -7.463952	-0.062 -0.000 0.062
ttt_playerspawn	714.546814 39.440281 -7.481392	-0.080 -0.000 0.080
ttt_playerspawn	717.769348 -62.866386 -7.470004	-0.068 -0.000 0.068
ttt_playerspawn	669.723999 -146.497803 -7.457550	-0.056 -0.000 0.056
