# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: gm_csgozoo
# Exported by: Sc00by
setting:	replacespawns 1
ttt_random_ammo	3961.083008 2082.983398 160.470551	-1.052 0.021 -1.123
ttt_random_ammo	3920.452881 2110.948975 160.461487	-1.446 0.027 -1.544
ttt_random_ammo	3914.988037 2174.452637 160.389023	-0.265 0.003 -0.173
ttt_random_ammo	3911.222412 2239.071289 160.380447	0.144 -0.419 -0.491
ttt_random_ammo	3891.850342 2277.578613 160.401596	-0.286 -0.003 0.092
ttt_random_ammo	3863.385254 2316.801758 160.364044	-0.303 -0.003 0.244
ttt_random_ammo	3825.930420 2304.920410 160.453369	-1.756 0.032 -1.872
ttt_random_ammo	3819.823242 2363.987305 160.366013	-0.298 -0.003 0.239
ttt_random_ammo	3849.725586 2376.359619 160.373596	-0.284 -0.003 0.222
ttt_random_ammo	3858.885986 2414.113770 160.424805	-0.799 -0.001 -0.619
ttt_random_ammo	3811.767822 2389.719238 160.364044	-0.302 -0.003 0.244
ttt_random_ammo	3821.933105 2465.481201 160.471207	-1.004 0.020 -1.070
ttt_random_ammo	3868.914551 2500.416016 160.375427	-0.280 -0.003 0.217
ttt_random_ammo	3829.755615 2503.015625 160.362045	-0.307 -0.003 0.248
ttt_random_ammo	3808.419189 2478.322998 160.353745	-0.324 -0.003 0.265
ttt_playerspawn	4369.288574 2046.650757 160.560059	0.056 -0.000 -0.056
ttt_playerspawn	4249.618164 2044.886963 160.561813	0.054 -0.000 -0.054
ttt_playerspawn	4128.686523 2045.136475 160.562958	0.052 -0.000 -0.052
ttt_playerspawn	4018.724121 2042.883057 160.567642	0.046 -0.000 -0.046
ttt_playerspawn	4394.544434 2376.158691 160.552368	0.050 -0.000 -0.050
ttt_playerspawn	4264.490234 2378.617432 160.570114	0.031 -0.000 -0.031
ttt_playerspawn	4139.601074 2375.513184 160.552368	0.050 -0.000 -0.050
ttt_playerspawn	4033.719727 2376.593994 160.565262	0.036 -0.000 -0.036
ttt_playerspawn	3751.764648 2909.914307 160.538879	0.060 0.000 0.060
ttt_playerspawn	3872.366943 2905.067139 160.555450	0.043 0.000 0.043
ttt_playerspawn	3745.715088 2738.775635 160.542450	0.056 0.000 0.056
ttt_playerspawn	3854.012451 2723.605957 160.532074	0.066 0.000 0.066
ttt_playerspawn	-2130.119385 2673.551270 -127.460350	-0.075 -0.000 0.075
ttt_playerspawn	-1972.981445 2667.729248 -127.435036	0.040 0.000 -0.041
ttt_playerspawn	-1821.279419 2682.434814 -127.469116	-0.086 -0.000 0.086
ttt_playerspawn	-1965.177979 2552.377197 -127.406693	0.013 0.614 0.034
ttt_playerspawn	-2130.650879 2550.960205 -127.438980	0.041 0.036 0.164
ttt_playerspawn	-1834.128662 2557.290771 -127.446259	0.037 0.265 0.184
ttt_playerspawn	-1895.423584 2445.664062 -127.455666	0.030 0.053 0.206
ttt_playerspawn	-2044.854736 2447.464111 -127.457214	-0.196 -0.152 -0.014
ttt_playerspawn	-1364.979126 2660.975586 -127.434914	-0.074 0.113 0.156
ttt_playerspawn	-1380.183350 2501.916260 -127.461525	0.050 0.138 0.207
